"客户端名称,""分类"""
"凤凰新周刊,""报刊杂志"""
"中文摄影杂志,""报刊杂志"""
"三联生活周刊,""报刊杂志"""
"财经杂志,""报刊杂志"""
"VIVA手机杂志,""报刊杂志"""
"蛮子文摘,""报刊杂志"""
"I时代报,""报刊杂志"""
"IRead,""报刊杂志"""
"百度股市通,""财务"""
"股票雷达,""财务"""
"买卖时机,""财务"""
"牛股王,""财务"""
"雪球,""财务"""
"银天下,""财务"""
"拉卡拉,""财务"""
"新浪财经,""财务"""
"挖财记账理财,""财务"""
"挖财信用卡管理,""财务"""
"银联手机支付,""财务"""
"财付通,""财务"""
"个税小算盘,""财务"""
"招商银行手机银行,""财务"""
"招商银行掌上生活,""财务"""
"支付宝,""财务"""
"同花顺,""财务"""
"腾讯自选股,""财务"""
"金太阳,""财务"""
"上海益盟操盘手,""财务"""
"大智慧,""财务"""
"金蝶随手记,""财务"""
"百度百科,""参考"""
"汽车之家,""参考"""
"搜狗路况导航,""导航"""
"搜狗公交,""导航"""
"GoogleEarth客户端,""导航"""
"百度路况,""导航"""
"老虎地图,""导航"""
"QQ地图,""导航"""
"导航犬,""导航"""
"搜狗地图,""导航"""
"谷歌地图,""导航"""
"百度地图,""导航"""
"一键导航,""导航"""
"高德导航,""导航"""
"苹果地图,""导航"""
"医联云健康,""工具"""
"宝宝学数学 ,""工具"""
"我爱汉字-拼音识字,""工具"""
"宝贝听听,""工具"""
"儿童拼图,""工具"""
"儿童拖拖乐游戏,""工具"""
"宝宝看图学习与记忆游戏 ,""工具"""
"经典少儿歌曲大全,""工具"""
"宝宝睡前故事 ,""工具"""
"儿童每日食谱 ,""工具"""
"瑶瑶缴费,""工具"""
"理财快报,""工具"""
"名片全能王,""工具"""
"扫描全能王,""工具"""
"3G门户,""工具"""
"太平洋电脑网,""工具"""
"QQ邮箱,""工具"""
"壁纸美图大全,""工具"""
"图吧地图,""工具"""
"搜狐企业网盘,""工具"""
"盛大网盘,""工具"""
"华为网盘,""工具"""
"彩云,""工具"""
"京东云盘,""工具"""
"迅雷云,""工具"""
"腾讯微云,""工具"""
"天翼云,""工具"""
"酷盘,""工具"""
"百度云,""工具"""
"新浪微盘,""工具"""
"六合彩,""工具"""
"SpeedTest,""工具"""
"Naver门户,""工具"""
"91桌面,""工具"""
"nightstand时钟,""工具"""
"二维码扫描,""工具"""
